Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.4080e-02,0.02835
2.4112e-02,0.0285469
2.4144e-02,0.0289125
2.4176e-02,0.0287125
2.4208e-02,0.0283187
2.4240e-02,0.030125
2.4272e-02,0.0306687
2.4304e-02,0.0304656
2.4336e-02,0.0297875
2.4368e-02,0.0291656
2.4400e-02,0.028375
2.4432e-02,0.0283969
2.4464e-02,0.0286406
2.4496e-02,0.0287594
2.4528e-02,0.0287594
2.4560e-02,0.02905
2.4592e-02,0.0300062
2.4624e-02,0.0306531
2.4656e-02,0.0306125
2.4688e-02,0.0298656
2.4720e-02,0.0299156
2.4752e-02,0.0295
2.4784e-02,0.0287844
2.4816e-02,0.0281219
2.4848e-02,0.0283156
2.4880e-02,0.0291437
2.4912e-02,0.0290844
2.4944e-02,0.0303406
2.4976e-02,0.0294344
2.5008e-02,0.0287
2.5040e-02,0.0290406
2.5072e-02,0.0291562
2.5104e-02,0.0290375
2.5136e-02,0.0290937
2.5168e-02,0.0293625
2.5200e-02,0.0296281
2.5232e-02,0.0295312
2.5264e-02,0.0298875
2.5296e-02,0.0301875
2.5328e-02,0.0298062
2.5360e-02,0.0301375
2.5392e-02,0.0310406
2.5424e-02,0.0314312
2.5456e-02,0.0307312
2.5488e-02,0.0302344
2.5520e-02,0.0292219
2.5552e-02,0.0301906
2.5584e-02,0.0300875
2.5616e-02,0.0294406
2.5648e-02,0.0298875
2.5680e-02,0.0293125
2.5712e-02,0.0290094
2.5744e-02,0.0287062
2.5776e-02,0.0282594
2.5808e-02,0.0277812
2.5840e-02,0.028575
2.5872e-02,0.0294219
2.5904e-02,0.0299594
2.5936e-02,0.0295906
2.5968e-02,0.0302719
2.6000e-02,0.0307844
2.6032e-02,0.0312687
2.6064e-02,0.03165
2.6096e-02,0.0320062
2.6128e-02,0.0313719
2.6160e-02,0.0308094
2.6192e-02,0.0305844
2.6224e-02,0.0312875
2.6256e-02,0.0317687
2.6288e-02,0.0318
2.6320e-02,0.0314375
2.6352e-02,0.03025
2.6384e-02,0.0294562
2.6416e-02,0.0299531
2.6448e-02,0.0302625
2.6480e-02,0.0295125
2.6512e-02,0.0299406
